model;rated_mAh;tested_mAh;rated_CDR_A;rated_TL_A;estimated_CDR_A;estimated_TL_A;DCIR_mOhm;E5_Wh;E10_Wh;E15_Wh;E20_Wh;E30_Wh;E40_Wh;E50_Wh;test_date_raw;note;test_date;source;source_kind;cutoff_energy_V;capacity_basis;url;article_status;publication_date
EVE 58E;5700.0;5700.0;16.8;;13.0;16.8;17.2;18.4;17.9;16.2;;;;;5/21/25;;2025-05-21;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-eve-58e-16-8a-5700mah-21700.990414/;"Только заголовок; текст не извлечён";
FEB 21700G (68E);6500.0;6500.0;13.0;;13.0;;20.0;19.2;18.5;;;;;;3/28/26;;2026-03-28;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-feb-21700g-68e-13a-6500mah-21700.993807/;"Только заголовок; текст не извлечён";
Great Power (GPHN) 50Q;5000.0;5000.0;50.0;125.0;40.0;100.0;6.1;16.7;16.8;;16.5;16.1;15.9;;5/7/26;;2026-05-07;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-great-power-50q-50a-5000mah-21700.994348/;"Только заголовок; текст не извлечён";
LG H50;;4900.0;;;9.8;;15.3;;15.9;;;;;;7/31/21;"Паспортная ёмкость неизвестна; включено по Tested mAh";2021-07-31;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;tested_mAh (rated неизвестна);;Ссылка на точную версию не установлена;
LG H51T;5000.0;5000.0;20.0;;20.0;;18.4;16.3;16.1;14.5;14.3;;;;10/18/25;Не объединять с LG H51;2025-10-18;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-lg-h51t-20a-5000mah-21700-pre-production.992064/;"Только заголовок; текст не извлечён";
LG M50LT;4932.0;4800.0;14.4;;14.4;;18.3;16.3;16.1;;;;;;12/22/22;Ток только при температуре среды не выше комнатной;2022-12-22;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-lg-m50lt-14-4a-4932mah-21700.979634/;Текст статьи прочитан;
LG M50T;5014.0;4900.0;14.6;;14.6;;27.1;15.2;14.4;;;;;;12/10/22;Ток только при температуре среды не выше комнатной;2022-12-10;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
LG M58T;5570.0;5570.0;12.5;;12.5;;18.9;17.9;17.2;;;;;;6/16/25;;2025-06-16;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-lg-m58t-12-5a-5570mah-21700.990859/;"Только заголовок; текст не извлечён";
Linkdata 55P;5500.0;5400.0;40.0;50.0;40.0;50.0;4.9;17.8;17.7;;17.4;16.9;16.4;;8/1/26;;2026-08-01;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-linkdata-55p-40a-50a-5500mah-21700.995029/;"Только заголовок; текст не извлечён";
Linkdata 60P;6000.0;6000.0;60.0;;30.0;60.0;7.6;18.9;18.7;;18.0;16.9;;;5/3/26;;2026-05-03;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-linkdata-60p-60a-6000mah-21700.994389/;"Только заголовок; текст не извлечён";
Linkdata 65P;6500.0;6500.0;52.0;;25.0;52.0;6.3;20.5;20.3;;20.0;;;;6/11/26;;2026-06-11;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-linkdata-65p-52a-6500mah-21700.994761/;"Только заголовок; текст не извлечён";
Lishen LR2170SD (pink);5000.0;4900.0;9.6;;9.6;;25.5;15.4;15.1;;;;;;10/31/21;;2021-10-31;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
Lishen LR2170SF (orange);4500.0;4500.0;13.5;;13.5;;23.7;14.4;13.9;;;;;;11/1/21;;2021-11-01;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
Lishen LR2170SK;5800.0;5750.0;16.95;;12.0;17.0;21.7;17.4;16.7;;;;;;5/22/25;;2025-05-22;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-lishen-lr2170sk-16-95a-5800mah-21700.990568/;"Только заголовок; текст не извлечён";
Molicel P45B (2024-dated);4500.0;4450.0;;45.0;35.0;45.0;9.7;14.8;14.7;;14.2;13.4;;;12/27/24;Rated 45 A при температуре ниже 80 °C;2024-12-27;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-molicel-p45b-45a-4500mah-21700-2024-retest.988596/;"Только заголовок; текст не извлечён";
Molicel P50B (2024-dated);5000.0;5000.0;60.0;;35.0;60.0;8.2;16.0;15.7;;15.2;14.2;;;1/4/25;;2025-01-04;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-molicel-p50b-60a-5000mah-21700.988690/;"Только заголовок; текст не извлечён";
Molicel M50A;4800.0;4900.0;15.0;;15.0;;21.3;15.8;15.1;;;;;;9/19/20;;2020-09-19;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
Reliance RH60 (regular top contact, small spiral);5850.0;5850.0;20.0;;20.0;;9.3;18.5;18.6;17.6;18.0;;;;5/1/26;;2026-05-01;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-reliance-rh60-20a-5850mah-21700.993997/;"Только заголовок; текст не извлечён";
Reliance RS50 (CCC logo, batch G3E);4950.0;4950.0;;70.0;40.0;70.0;6.5;16.6;16.7;;16.5;16.0;15.7;;5/5/26;DCIR 6.5 на фото расходится с 5.52/5.56 в статье;2026-05-05;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-retest-results-reliance-rs50-70a-4950mah-full-tab-21700.994194/;"Только заголовок; текст не извлечён";
Reliance RS60 (direct from Reliance);5850.0;5850.0;50.0;;30.0;50.0;6.2;19.2;19.3;;18.8;18.7;;;5/19/26;;2026-05-19;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-reliance-rs60-50a-5850mah-21700.994495/;"Только заголовок; текст не извлечён";
Samsung 45T (CC4503F101 Ver C);4500.0;4500.0;35.0;50.0;30.0;50.0;10.4;15.0;14.8;;14.3;13.1;;;2/24/25;Rated 35/50 A в фото помечен RUMORED;2025-02-24;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-samsung-45t-cc4503f101-ver-c-35a-50a-4500mah-21700.989513/;"Только заголовок; текст не извлечён";
Samsung 50E2;4900.0;4900.0;9.8;;9.8;14.7;16.9;16.0;15.6;;;;;;7/24/22;;2022-07-24;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
Samsung 50S2;5000.0;5000.0;25.0;45.0;25.0;45.0;13.4;16.8;16.4;15.4;15.2;;;;1/28/25;Не объединять с прежним 50S;2025-01-28;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-samsung-50s2-25a-45a-5000mah-21700.988832/;"Только заголовок; текст не извлечён";
Samsung 53G;5300.0;5200.0;10.6;;10.6;;28.1;16.8;16.2;;;;;;9/14/24;;2024-09-14;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-samsung-53g-1-10-6a-5300mah-21700.987143/;"Только заголовок; текст не извлечён";
Samsung 50GB;5000.0;5000.0;9.8;;9.8;;16.5;16.4;15.9;;;;;;10/6/24;;2024-10-06;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
Samsung 58E (CC4593F101, Ver A);5490.0;5499.0;11.0;16.0;11.0;16.0;15.6;18.0;17.5;;;;;;3/6/25;"Имя/код и Tested 5499 переданы как на фото; идентичность с 55E не подтверждена";2025-03-06;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
Tenpower 50SG;5000.0;5000.0;20.0;50.0;20.0;40.0;11.3;16.0;15.8;14.8;14.7;;;;7/21/26;;2026-07-21;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-tenpower-50sg-20a-50a-5000mah-21700.995125/;"Только заголовок; текст не извлечён";
Tenpower 50XG;5000.0;5000.0;40.0;90.0;40.0;90.0;6.9;16.1;15.9;;16.1;15.4;15.2;;10/12/25;В статье образцы без CCC, возможная предсерия;2025-10-12;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-tenpower-50xg-40a-90a-5000mah-21700-pre-production.992040/;Текст статьи прочитан;
Tenpower 60XG;6000.0;6000.0;40.0;60.0;35.0;60.0;5.4;19.2;19.3;;19.1;18.4;;;6/25/26;;2026-06-25;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-tenpower-60xg-40a-60a-6000mah-21700.994796/;"Только заголовок; текст не извлечён";
Vapcell F66;6600.0;6600.0;12.5;;12.5;;19.8;19.4;18.8;;;;;;8/7/26;"Ребрендинг; производитель ячеек может меняться";2026-08-07;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
Linkdata 50T;5000;;;;50;;4.52;;;;;;;;;"Тест при 50 А до 2.5 В: около 77–78 °C; предел 80 °C. Паспортный ток 60 А вызывает около 85 °C. Паспортная масса 68.5±1.5 г. E-Scores в доступном тексте отсутствуют.";;https://www.e-cigarette-forum.com/threads/bench-test-results-linkdata-50t-60a-5000mah-21700.995258/;Форум;;;https://www.e-cigarette-forum.com/threads/bench-test-results-linkdata-50t-60a-5000mah-21700.995258/;Текст статьи прочитан;2026-09-06
Great Power 60Q;6000;;;;35;;5.08;;;;;;;;;"CCC, июль 2026. При 40 А до 2.5 В около 77 °C против предела 75 °C; Mooch рекомендует ≤35 А. 110 А с отсечкой 80 °C — иной режим. E-Scores в доступном тексте отсутствуют.";;https://www.e-cigarette-forum.com/threads/bench-test-results-great-power-60q-60a-110a-6000mah-21700.995238/;Форум;;;https://www.e-cigarette-forum.com/threads/bench-test-results-great-power-60q-60a-110a-6000mah-21700.995238/;Текст статьи прочитан;2026-09-03
